gene	geneName	baseMean	log2FC	stderror	padj
CNAG_03751	NA	827.842	0.572	0.113	4.497e-6
CNAG_03752	NA	93.678	0.131	0.198	0.6671
CNAG_03753	NA	574.939	0.047	0.106	0.7834
CNAG_03754	ISP1	34.826	0.03	0.327	0.9607
CNAG_03755	NA	465.136	-0.045	0.123	0.823
CNAG_03756	NA	281.49	0.224	0.138	0.2183
CNAG_03759	NA	8.008	-0.655	0.675	0.5005
CNAG_03760	RINT1	556.428	0.012	0.107	0.9522
CNAG_03761	NA	538.112	-0.287	0.129	0.0733
CNAG_03762	NA	804.898	-0.678	0.109	8.194e-9
CNAG_03763	NA	1584.293	0.037	0.09	0.7997
CNAG_03764	NA	48.915	0.379	0.275	0.31
CNAG_03765	TPS2	2074.437	0.396	0.097	3.24e-4
CNAG_03766	NA	634.103	-0.169	0.123	0.3152
CNAG_03767	NA	650.094	0.091	0.123	0.6226
CNAG_03768	FZC32	452.82	0.329	0.114	0.01502
CNAG_03769	HXK2	4611.456	0.086	0.106	0.5833
CNAG_03770	NA	558.763	-0.277	0.109	0.03617
CNAG_03771	NA	743.985	0.035	0.12	0.8631
CNAG_03772	HXS1	113.505	-0.325	0.202	0.2219
CNAG_03775	NA	614.739	0.488	0.12	3.193e-4
CNAG_03776	NA	165.092	-0.135	0.167	0.589
CNAG_03777	NA	355.692	0.325	0.122	0.02644
CNAG_03779	NA	1282.912	-0.369	0.093	4.394e-4
CNAG_03780	NA	53160.28	-0.843	0.08	5.497e-24
CNAG_03781	SAD1	230.006	-0.201	0.152	0.3364
CNAG_03782	NA	22.899	1.052	0.42	0.03975
CNAG_03783	NA	52.645	0.614	0.26	0.05503
CNAG_03784	NA	11.56	0.153	0.536	0.8665
CNAG_03785	NTH1	293.006	0.235	0.136	0.183
CNAG_03786	LYSO1	213.175	0.256	0.155	0.208
CNAG_03787	NA	10569.133	-0.121	0.09	0.3214
CNAG_03788	NA	264.253	-0.408	0.135	0.01052
CNAG_03789	NA	567.275	-0.847	0.117	1.099e-11
CNAG_03790	NA	1215.288	0.24	0.127	0.1372
CNAG_03791	NA	259.562	0.063	0.137	0.7759
CNAG_03792	NA	199.171	-0.17	0.152	0.4278
